Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
10/7/25,5:00 PM,Chicago Blackhawks,2,Florida Panthers,3,,19655,2:34,
10/7/25,10:30 PM,Colorado Avalanche,4,Los Angeles Kings,1,,18145,2:37,
10/7/25,8:00 PM,Pittsburgh Penguins,3,New York Rangers,0,,18006,2:16,
10/8/25,10:00 PM,Calgary Flames,4,Edmonton Oilers,3,SO,18347,2:55,
10/8/25,7:00 PM,Montreal Canadiens,2,Toronto Maple Leafs,5,,19037,2:25,
10/8/25,10:00 PM,Los Angeles Kings,6,Vegas Golden Knights,5,SO,18393,2:45,
10/8/25,7:30 PM,Boston Bruins,3,Washington Capitals,1,,18347,2:35,
10/9/25,7:00 PM,Chicago Blackhawks,3,Boston Bruins,4,OT,17850,2:45,
10/9/25,7:00 PM,New York Rangers,4,Buffalo Sabres,0,,19070,2:29,
10/9/25,7:30 PM,New Jersey Devils,3,Carolina Hurricanes,6,,18404,2:30,
10/9/25,9:00 PM,Utah Mammoth,1,Colorado Avalanche,2,,18087,2:34,
10/9/25,7:00 PM,Montreal Canadiens,5,Detroit Red Wings,1,,19515,2:18,
10/9/25,7:00 PM,Philadelphia Flyers,1,Florida Panthers,2,,19431,2:30,
10/9/25,8:00 PM,Columbus Blue Jackets,1,Nashville Predators,2,,17244,2:35,
10/9/25,7:00 PM,New York Islanders,3,Pittsburgh Penguins,4,,16107,2:37,
10/9/25,10:00 PM,Anaheim Ducks,1,Seattle Kraken,3,,17151,2:36,
10/9/25,10:00 PM,Vegas Golden Knights,4,San Jose Sharks,3,OT,17435,2:37,
10/9/25,8:00 PM,Minnesota Wild,5,St. Louis Blues,0,,18096,2:25,
10/9/25,7:00 PM,Ottawa Senators,5,Tampa Bay Lightning,4,,19092,2:39,
10/9/25,10:00 PM,Calgary Flames,1,Vancouver Canucks,5,,19012,2:33,
10/9/25,8:00 PM,Dallas Stars,5,Winnipeg Jets,4,,15225,2:37,
10/11/25,7:00 PM,Buffalo Sabres,1,Boston Bruins,3,,17850,2:31,
10/11/25,7:00 PM,Philadelphia Flyers,3,Carolina Hurricanes,4,OT,18357,2:46,
10/11/25,4:00 PM,St. Louis Blues,4,Calgary Flames,2,,17774,2:36,
10/11/25,7:00 PM,Montreal Canadiens,3,Chicago Blackhawks,2,,19344,2:37,
10/11/25,9:00 PM,Dallas Stars,5,Colorado Avalanche,4,SO,18129,2:41,
10/11/25,7:00 PM,Toronto Maple Leafs,3,Detroit Red Wings,6,,19515,2:24,
10/11/25,10:00 PM,Vancouver Canucks,1,Edmonton Oilers,3,,18347,2:33,
10/11/25,7:00 PM,Ottawa Senators,2,Florida Panthers,6,,19704,2:32,
10/11/25,8:00 PM,Columbus Blue Jackets,7,Minnesota Wild,4,,18836,2:41,
10/11/25,8:00 PM,Utah Mammoth,3,Nashville Predators,2,OT,17177,2:43,
10/11/25,7:00 PM,Washington Capitals,4,New York Islanders,2,,17255,2:44,
10/11/25,7:00 PM,New York Rangers,6,Pittsburgh Penguins,1,,16716,2:26,
10/11/25,10:00 PM,Vegas Golden Knights,1,Seattle Kraken,2,OT,17151,2:41,
10/11/25,10:00 PM,Anaheim Ducks,7,San Jose Sharks,6,OT,17435,2:34,
10/11/25,7:00 PM,New Jersey Devils,5,Tampa Bay Lightning,3,,19092,2:33,
10/11/25,1:30 PM,Los Angeles Kings,2,Winnipeg Jets,3,,14204,2:35,
10/12/25,7:00 PM,Washington Capitals,1,New York Rangers,0,,17479,2:26,
10/13/25,1:00 PM,Tampa Bay Lightning,4,Boston Bruins,3,,17850,2:37,
10/13/25,12:30 PM,Colorado Avalanche,3,Buffalo Sabres,1,,16462,2:30,
10/13/25,7:00 PM,New Jersey Devils,3,Columbus Blue Jackets,2,,18627,2:30,
10/13/25,8:30 PM,Utah Mammoth,1,Chicago Blackhawks,3,,15203,2:27,
10/13/25,8:00 PM,Los Angeles Kings,3,Minnesota Wild,4,SO,17102,2:52,
10/13/25,1:00 PM,Winnipeg Jets,5,New York Islanders,2,,13287,2:26,
10/13/25,1:00 PM,Nashville Predators,4,Ottawa Senators,1,,18500,2:49,
10/13/25,7:00 PM,Florida Panthers,2,Philadelphia Flyers,5,,19421,2:27,
10/13/25,2:00 PM,Detroit Red Wings,3,Toronto Maple Leafs,2,,18877,2:29,
10/13/25,7:30 PM,St. Louis Blues,5,Vancouver Canucks,2,,18952,2:19,
10/14/25,10:30 PM,Pittsburgh Penguins,3,Anaheim Ducks,4,,17622,2:30,
10/14/25,9:00 PM,Vegas Golden Knights,4,Calgary Flames,2,,16553,2:36,
10/14/25,9:30 PM,Minnesota Wild,2,Dallas Stars,5,,18532,2:32,
10/14/25,7:00 PM,Seattle Kraken,4,Montreal Canadiens,5,OT,20962,2:39,
10/14/25,7:00 PM,Edmonton Oilers,2,New York Rangers,0,,16497,2:19,
10/14/25,10:00 PM,Carolina Hurricanes,5,San Jose Sharks,1,,12786,2:28,
10/14/25,7:00 PM,Nashville Predators,4,Toronto Maple Leafs,7,,18124,2:31,
10/14/25,7:00 PM,Tampa Bay Lightning,2,Washington Capitals,3,OT,16948,2:41,
10/15/25,7:00 PM,Ottawa Senators,4,Buffalo Sabres,8,,13993,2:33,
10/15/25,7:00 PM,Florida Panthers,1,Detroit Red Wings,4,,18655,2:31,
10/15/25,9:30 PM,Chicago Blackhawks,8,St. Louis Blues,3,,17249,2:26,
10/15/25,9:30 PM,Calgary Flames,1,Utah Mammoth,3,,12478,2:34,
10/16/25,10:00 PM,Carolina Hurricanes,4,Anaheim Ducks,1,,16145,2:28,
10/16/25,7:00 PM,Colorado Avalanche,4,Columbus Blue Jackets,1,,17249,2:27,
10/16/25,8:00 PM,Vancouver Canucks,5,Dallas Stars,3,,18532,2:26,
10/16/25,10:00 PM,Pittsburgh Penguins,4,Los Angeles Kings,2,,14737,2:20,
10/16/25,7:00 PM,Nashville Predators,2,Montreal Canadiens,3,OT,20962,2:30,
10/16/25,7:00 PM,Florida Panthers,1,New Jersey Devils,3,,16514,2:26,
10/16/25,7:30 PM,Edmonton Oilers,2,New York Islanders,4,,14837,2:31,
10/16/25,7:00 PM,Seattle Kraken,3,Ottawa Senators,4,SO,15736,2:38,
10/16/25,7:00 PM,Winnipeg Jets,5,Philadelphia Flyers,2,,16170,2:17,
10/16/25,7:00 PM,New York Rangers,1,Toronto Maple Leafs,2,OT,18267,2:28,
10/16/25,10:00 PM,Boston Bruins,5,Vegas Golden Knights,6,,17927,2:48,
10/17/25,8:30 PM,Vancouver Canucks,3,Chicago Blackhawks,2,SO,18306,2:54,
10/17/25,7:00 PM,Tampa Bay Lightning,1,Detroit Red Wings,2,OT,19515,2:36,
10/17/25,9:00 PM,San Jose Sharks,3,Utah Mammoth,6,,12478,2:23,
10/17/25,7:00 PM,Minnesota Wild,1,Washington Capitals,5,,17482,2:32,
10/18/25,1:00 PM,Florida Panthers,0,Buffalo Sabres,3,,16015,2:36,
10/18/25,7:00 PM,Tampa Bay Lightning,2,Columbus Blue Jackets,3,,15822,2:42,
10/18/25,9:00 PM,Boston Bruins,1,Colorado Avalanche,4,,18131,2:37,
10/18/25,9:00 PM,Carolina Hurricanes,4,Los Angeles Kings,3,OT,18145,2:43,
10/18/25,7:00 PM,New York Rangers,4,Montreal Canadiens,3,,20962,2:33,
10/18/25,3:30 PM,Edmonton Oilers,3,New Jersey Devils,5,,16514,2:23,
10/18/25,3:00 PM,New York Islanders,5,Ottawa Senators,4,,15929,2:28,
10/18/25,7:00 PM,Minnesota Wild,1,Philadelphia Flyers,2,OT,17011,2:37,
10/18/25,10:00 PM,Pittsburgh Penguins,3,San Jose Sharks,0,,17435,2:15,
10/18/25,7:00 PM,Dallas Stars,1,St. Louis Blues,3,,18096,2:24,
10/18/25,7:00 PM,Seattle Kraken,4,Toronto Maple Leafs,3,OT,18589,2:37,
10/18/25,10:00 PM,Calgary Flames,1,Vegas Golden Knights,6,,17811,2:29,
10/18/25,7:00 PM,Nashville Predators,1,Winnipeg Jets,4,,14309,2:26,
10/19/25,7:00 PM,Anaheim Ducks,1,Chicago Blackhawks,2,OT,16262,2:27,
10/19/25,3:00 PM,Edmonton Oilers,2,Detroit Red Wings,4,,19515,2:10,
10/19/25,7:00 PM,Boston Bruins,2,Utah Mammoth,3,,12478,2:33,
10/19/25,12:30 PM,Vancouver Canucks,4,Washington Capitals,3,,17018,2:36,
10/20/25,9:30 PM,Winnipeg Jets,2,Calgary Flames,1,,16800,2:29,
10/20/25,7:30 PM,Buffalo Sabres,2,Montreal Canadiens,4,,20962,2:32,
10/20/25,7:00 PM,Minnesota Wild,3,New York Rangers,1,,18006,2:33,
10/20/25,7:00 PM,Seattle Kraken,2,Philadelphia Flyers,5,,16099,2:35,
10/20/25,10:00 PM,Carolina Hurricanes,1,Vegas Golden Knights,4,,17682,2:33,
10/21/25,7:30 PM,Florida Panthers,4,Boston Bruins,3,,17850,2:43,
10/21/25,8:00 PM,Columbus Blue Jackets,5,Dallas Stars,1,,18532,2:24,
10/21/25,8:00 PM,Anaheim Ducks,5,Nashville Predators,2,,17159,2:32,
10/21/25,7:00 PM,San Jose Sharks,3,New York Islanders,4,,15832,2:36,
10/21/25,7:00 PM,Edmonton Oilers,3,Ottawa Senators,2,OT,17436,2:26,
10/21/25,7:00 PM,Vancouver Canucks,1,Pittsburgh Penguins,5,,13685,2:26,
10/21/25,8:00 PM,Los Angeles Kings,2,St. Louis Blues,1,OT,16710,2:34,
10/21/25,7:00 PM,New Jersey Devils,5,Toronto Maple Leafs,2,,18306,2:29,
10/21/25,10:00 PM,Colorado Avalanche,3,Utah Mammoth,4,OT,12478,2:41,
10/21/25,7:00 PM,Seattle Kraken,1,Washington Capitals,4,,16578,2:26,
10/22/25,7:30 PM,Detroit Red Wings,2,Buffalo Sabres,4,,15104,2:33,
10/22/25,8:30 PM,Montreal Canadiens,2,Calgary Flames,1,OT,17826,2:39,
10/22/25,7:00 PM,Minnesota Wild,1,New Jersey Devils,4,,16434,2:29,
10/23/25,7:00 PM,Anaheim Ducks,7,Boston Bruins,5,,17850,2:39,
10/23/25,9:00 PM,Carolina Hurricanes,5,Colorado Avalanche,4,SO,18092,2:56,
10/23/25,9:00 PM,Los Angeles Kings,3,Dallas Stars,2,OT,18532,2:42,
10/23/25,9:00 PM,Montreal Canadiens,5,Edmonton Oilers,6,,18347,2:31,
10/23/25,7:00 PM,Pittsburgh Penguins,5,Florida Panthers,3,,19373,2:39,
10/23/25,8:00 PM,Vancouver Canucks,1,Nashville Predators,2,,17159,2:24,
10/23/25,7:00 PM,Detroit Red Wings,2,New York Islanders,7,,14495,2:27,
10/23/25,7:00 PM,San Jose Sharks,6,New York Rangers,5,OT,18006,2:37,
10/23/25,7:00 PM,Philadelphia Flyers,1,Ottawa Senators,2,,16380,2:23,
10/23/25,8:00 PM,Utah Mammoth,7,St. Louis Blues,4,,18096,2:41,
10/23/25,6:45 PM,Chicago Blackhawks,3,Tampa Bay Lightning,2,,19092,2:30,
10/23/25,8:00 PM,Seattle Kraken,3,Winnipeg Jets,0,,13690,2:29,
10/24/25,7:00 PM,Toronto Maple Leafs,3,Buffalo Sabres,5,,17211,2:27,
10/24/25,7:00 PM,Washington Capitals,5,Columbus Blue Jackets,1,,17714,2:28,
10/24/25,7:00 PM,San Jose Sharks,1,New Jersey Devils,3,,16514,2:28,
10/24/25,8:00 PM,Calgary Flames,3,Winnipeg Jets,5,,13967,2:36,
10/25/25,3:00 PM,Colorado Avalanche,2,Boston Bruins,3,,17850,2:28,
10/25/25,8:00 PM,Carolina Hurricanes,2,Dallas Stars,3,,18532,2:42,
10/25/25,7:00 PM,St. Louis Blues,4,Detroit Red Wings,6,,19515,2:31,
10/25/25,6:00 PM,Vegas Golden Knights,0,Florida Panthers,3,,19558,2:24,
10/25/25,6:00 PM,Utah Mammoth,6,Minnesota Wild,2,,18088,2:33,
10/25/25,8:00 PM,Los Angeles Kings,4,Nashville Predators,5,SO,17159,2:53,
10/25/25,12:30 PM,New York Islanders,3,Philadelphia Flyers,4,SO,16640,2:44,
10/25/25,7:00 PM,Columbus Blue Jackets,5,Pittsburgh Penguins,4,SO,15261,2:41,
10/25/25,10:00 PM,Edmonton Oilers,2,Seattle Kraken,3,,17151,2:28,
10/25/25,5:00 PM,Anaheim Ducks,3,Tampa Bay Lightning,4,,19092,2:39,
10/25/25,5:00 PM,Buffalo Sabres,3,Toronto Maple Leafs,4,OT,18792,2:34,
10/25/25,7:00 PM,Montreal Canadiens,4,Vancouver Canucks,3,,18846,2:32,
10/25/25,7:00 PM,Ottawa Senators,7,Washington Capitals,1,,18347,2:48,
10/26/25,8:00 PM,New York Rangers,1,Calgary Flames,5,,17196,2:23,
10/26/25,7:00 PM,Los Angeles Kings,3,Chicago Blackhawks,1,,16620,2:37,
10/26/25,6:00 PM,San Jose Sharks,6,Minnesota Wild,5,OT,17101,2:36,
10/26/25,1:00 PM,Colorado Avalanche,3,New Jersey Devils,4,OT,16514,2:26,
10/26/25,7:00 PM,Dallas Stars,3,Nashville Predators,2,,17159,2:33,
10/26/25,5:00 PM,Vegas Golden Knights,1,Tampa Bay Lightning,2,OT,19092,2:40,
10/26/25,10:00 PM,Edmonton Oilers,3,Vancouver Canucks,4,OT,18770,2:33,
10/26/25,6:00 PM,Utah Mammoth,3,Winnipeg Jets,2,,13678,2:25,
10/27/25,7:30 PM,Boston Bruins,2,Ottawa Senators,7,,16168,2:35,
10/27/25,7:00 PM,St. Louis Blues,3,Pittsburgh Penguins,6,,13303,2:21,
10/28/25,7:15 PM,New York Islanders,2,Boston Bruins,5,,17850,2:23,
10/28/25,6:45 PM,Columbus Blue Jackets,4,Buffalo Sabres,3,OT,15059,2:33,
10/28/25,6:30 PM,Vegas Golden Knights,6,Carolina Hurricanes,3,,18299,2:39,
10/28/25,8:45 PM,Ottawa Senators,3,Chicago Blackhawks,7,,15100,2:43,
10/28/25,9:00 PM,New Jersey Devils,4,Colorado Avalanche,8,,18095,2:41,
10/28/25,8:30 PM,Washington Capitals,0,Dallas Stars,1,,18532,2:31,
10/28/25,9:30 PM,Utah Mammoth,3,Edmonton Oilers,6,,18347,2:31,
10/28/25,7:00 PM,Anaheim Ducks,3,Florida Panthers,2,SO,19274,2:31,
10/28/25,8:00 PM,Winnipeg Jets,4,Minnesota Wild,3,OT,16102,2:36,
10/28/25,7:45 PM,Tampa Bay Lightning,5,Nashville Predators,2,,17159,2:35,
10/28/25,6:00 PM,Pittsburgh Penguins,2,Philadelphia Flyers,3,SO,17245,2:53,
10/28/25,10:30 PM,Montreal Canadiens,4,Seattle Kraken,3,OT,17151,2:27,
10/28/25,11:00 PM,Los Angeles Kings,4,San Jose Sharks,3,,12804,2:23,
10/28/25,8:15 PM,Detroit Red Wings,5,St. Louis Blues,2,,16496,2:21,
10/28/25,6:00 PM,Calgary Flames,3,Toronto Maple Leafs,4,,18454,2:27,
10/28/25,10:00 PM,New York Rangers,2,Vancouver Canucks,0,,18919,2:23,
10/29/25,7:30 PM,Toronto Maple Leafs,3,Columbus Blue Jackets,6,,16558,2:29,
10/30/25,7:00 PM,Buffalo Sabres,3,Boston Bruins,4,OT,17850,2:43,
10/30/25,7:30 PM,New York Islanders,2,Carolina Hurricanes,6,,18299,2:40,
10/30/25,9:00 PM,New York Rangers,4,Edmonton Oilers,3,OT,17787,2:32,
10/30/25,10:30 PM,Detroit Red Wings,4,Los Angeles Kings,3,SO,16013,2:48,
10/30/25,8:00 PM,Pittsburgh Penguins,4,Minnesota Wild,1,,16203,2:28,
10/30/25,7:00 PM,Calgary Flames,3,Ottawa Senators,4,SO,16790,2:45,
10/30/25,7:00 PM,Nashville Predators,1,Philadelphia Flyers,4,,15812,2:25,
10/30/25,10:00 PM,New Jersey Devils,2,San Jose Sharks,5,,12930,2:25,
10/30/25,8:00 PM,Vancouver Canucks,4,St. Louis Blues,3,SO,16848,2:44,
10/30/25,7:00 PM,Dallas Stars,1,Tampa Bay Lightning,2,OT,19092,2:28,
10/30/25,8:00 PM,Chicago Blackhawks,3,Winnipeg Jets,6,,13682,2:25,
10/31/25,10:00 PM,Detroit Red Wings,2,Anaheim Ducks,5,,13195,2:28,
10/31/25,4:00 PM,Colorado Avalanche,4,Vegas Golden Knights,2,,17889,2:34,
10/31/25,7:00 PM,New York Islanders,3,Washington Capitals,1,,16471,2:25,
11/1/25,1:00 PM,Carolina Hurricanes,1,Boston Bruins,2,,17850,2:14,
11/1/25,7:00 PM,Washington Capitals,3,Buffalo Sabres,4,SO,19070,2:42,
11/1/25,7:00 PM,St. Louis Blues,2,Columbus Blue Jackets,3,,17130,2:28,
11/1/25,10:00 PM,Chicago Blackhawks,2,Edmonton Oilers,3,OT,18347,2:26,
11/1/25,6:00 PM,Dallas Stars,3,Florida Panthers,4,SO,19386,2:33,
11/1/25,9:00 PM,New Jersey Devils,4,Los Angeles Kings,1,,16110,2:26,
11/1/25,7:00 PM,Vancouver Canucks,2,Minnesota Wild,5,,17216,2:31,
11/1/25,7:00 PM,Ottawa Senators,3,Montreal Canadiens,4,OT,20962,2:35,
11/1/25,3:30 PM,Calgary Flames,2,Nashville Predators,4,,17159,2:32,
11/1/25,7:00 PM,Toronto Maple Leafs,5,Philadelphia Flyers,2,,17846,2:47,
11/1/25,10:00 PM,New York Rangers,3,Seattle Kraken,2,OT,17151,2:39,
11/1/25,4:00 PM,Colorado Avalanche,2,San Jose Sharks,3,OT,16406,2:37,
11/1/25,3:00 PM,Pittsburgh Penguins,2,Winnipeg Jets,5,,14262,2:24,
11/2/25,8:00 PM,New Jersey Devils,1,Anaheim Ducks,4,,17174,2:17,
11/2/25,5:00 PM,Columbus Blue Jackets,2,New York Islanders,3,,14984,2:23,
11/2/25,7:00 PM,Calgary Flames,2,Philadelphia Flyers,1,,15291,2:31,
11/2/25,8:00 PM,Detroit Red Wings,3,San Jose Sharks,2,SO,14876,2:39,
11/2/25,3:30 PM,Tampa Bay Lightning,4,Utah Mammoth,2,,12478,2:34,
11/3/25,8:30 PM,Vancouver Canucks,5,Nashville Predators,4,OT,17159,2:42,
11/3/25,10:00 PM,Chicago Blackhawks,1,Seattle Kraken,3,,17151,2:26,
11/3/25,8:30 PM,Edmonton Oilers,2,St. Louis Blues,3,,18096,2:21,
11/3/25,7:30 PM,Pittsburgh Penguins,3,Toronto Maple Leafs,4,,18916,2:28,
11/4/25,10:00 PM,Florida Panthers,3,Anaheim Ducks,7,,14514,2:42,
11/4/25,7:00 PM,Utah Mammoth,2,Buffalo Sabres,1,OT,16202,2:26,
11/4/25,9:30 PM,Tampa Bay Lightning,2,Colorado Avalanche,3,,18071,2:30,
11/4/25,8:00 PM,Edmonton Oilers,3,Dallas Stars,4,SO,18532,2:38,
11/4/25,10:30 PM,Winnipeg Jets,0,Los Angeles Kings,3,,14671,2:32,
11/4/25,8:00 PM,Nashville Predators,2,Minnesota Wild,3,OT,16253,2:31,
11/4/25,7:00 PM,Philadelphia Flyers,5,Montreal Canadiens,4,SO,20962,2:46,
11/4/25,7:00 PM,Boston Bruins,4,New York Islanders,3,SO,15585,2:41,
11/4/25,7:00 PM,Carolina Hurricanes,3,New York Rangers,0,,17147,2:27,
11/4/25,10:00 PM,Detroit Red Wings,0,Vegas Golden Knights,1,,18025,2:33,
11/5/25,9:30 PM,Columbus Blue Jackets,1,Calgary Flames,5,,16802,2:29,
11/5/25,10:00 PM,San Jose Sharks,6,Seattle Kraken,1,,17151,2:20,
11/5/25,7:00 PM,Utah Mammoth,3,Toronto Maple Leafs,5,,18457,2:24,
11/5/25,10:00 PM,Chicago Blackhawks,5,Vancouver Canucks,2,,19002,2:22,
11/5/25,7:30 PM,St. Louis Blues,1,Washington Capitals,6,,17437,2:27,
11/6/25,7:00 PM,Ottawa Senators,2,Boston Bruins,3,OT,17850,2:38,
11/6/25,7:00 PM,St. Louis Blues,3,Buffalo Sabres,0,,16020,2:27,
11/6/25,7:00 PM,Minnesota Wild,3,Carolina Hurricanes,4,,18299,2:39,
11/6/25,8:00 PM,Anaheim Ducks,7,Dallas Stars,5,,18532,2:30,
11/6/25,10:00 PM,Florida Panthers,5,Los Angeles Kings,2,,16909,2:26,
11/6/25,7:00 PM,Montreal Canadiens,3,New Jersey Devils,4,OT,16514,2:20,
11/6/25,8:00 PM,Philadelphia Flyers,3,Nashville Predators,1,,17159,2:33,
11/6/25,7:30 PM,Washington Capitals,3,Pittsburgh Penguins,5,,18384,2:32,
11/6/25,10:00 PM,Tampa Bay Lightning,6,Vegas Golden Knights,3,,17717,2:29,
11/7/25,9:00 PM,Chicago Blackhawks,4,Calgary Flames,0,,17425,2:30,
11/7/25,7:00 PM,New York Rangers,4,Detroit Red Wings,1,,19515,2:32,
11/7/25,7:00 PM,Minnesota Wild,5,New York Islanders,2,,15792,2:28,
11/7/25,10:00 PM,Winnipeg Jets,1,San Jose Sharks,2,,13053,2:23,
11/8/25,7:00 PM,Buffalo Sabres,3,Carolina Hurricanes,6,,18299,2:31,
11/8/25,10:00 PM,Colorado Avalanche,9,Edmonton Oilers,1,,18347,2:35,
11/8/25,7:00 PM,Utah Mammoth,2,Montreal Canadiens,6,,20962,2:28,
11/8/25,12:30 PM,Pittsburgh Penguins,1,New Jersey Devils,2,SO,16514,2:34,
11/8/25,3:30 PM,Dallas Stars,5,Nashville Predators,4,,17159,2:28,
11/8/25,7:00 PM,New York Islanders,5,New York Rangers,0,,18006,2:27,
11/8/25,1:00 PM,Ottawa Senators,3,Philadelphia Flyers,2,OT,18188,2:33,
11/8/25,10:00 PM,Florida Panthers,1,San Jose Sharks,3,,15895,2:29,
11/8/25,7:00 PM,Seattle Kraken,4,St. Louis Blues,3,OT,18096,2:33,
11/8/25,7:00 PM,Washington Capitals,2,Tampa Bay Lightning,3,,19092,2:42,
11/8/25,7:00 PM,Boston Bruins,5,Toronto Maple Leafs,3,,18955,2:46,
11/8/25,10:00 PM,Columbus Blue Jackets,3,Vancouver Canucks,4,,18763,2:31,
11/8/25,10:00 PM,Anaheim Ducks,4,Vegas Golden Knights,3,OT,17977,2:40,
11/9/25,10:00 PM,Winnipeg Jets,1,Anaheim Ducks,4,,15286,2:28,
11/9/25,7:00 PM,Seattle Kraken,1,Dallas Stars,2,,18532,2:22,
11/9/25,1:00 PM,Chicago Blackhawks,5,Detroit Red Wings,1,,19515,2:31,
11/9/25,8:00 PM,Calgary Flames,0,Minnesota Wild,2,,17090,2:32,
